,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
25,Фордевинд 03,RU000A106Q47,961.4,Низкий,39.0,11.4,1000.0,12.0,136.8,37.05,14.23,https://www.tinkoff.ru/invest/bonds/RU000A106Q47/
26,Пионер-Лизинг-БО-П02,RU000A1006C3,1056.0,Низкий,63.0,0.87,1000.0,12.0,10.44,4.57,0.99,https://www.tinkoff.ru/invest/bonds/RU000A1006C3/
27,МФК ВЭББАНКИР выпуск 1,RU000A103F43,965.0,Низкий,14.0,9.05,1000.0,12.0,108.6,10.56,11.25,https://www.tinkoff.ru/invest/bonds/RU000A103F43/
28,МФК Лайм-Займ 1Р-02,RU000A106CJ8,984.2,Низкий,31.0,11.74,1000.0,12.0,140.88,30.33,14.31,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/
29,МФК Лайм-Займ выпуск 2,RU000A105AJ4,930.78,Низкий,23.0,12.79,900.0,12.0,153.48,24.51,16.49,https://www.tinkoff.ru/invest/bonds/RU000A105AJ4/
30,Быстроденьги 2P-02,RU000A106B51,967.0,Низкий,37.0,11.4,1000.0,12.0,136.8,35.15,14.15,https://www.tinkoff.ru/invest/bonds/RU000A106B51/
31,Фордевинд 04,RU000A106SE5,989.9,Низкий,39.0,12.09,1000.0,12.0,145.08,39.29,14.66,https://www.tinkoff.ru/invest/bonds/RU000A106SE5/
32,Селлер выпуск 1,RU000A106KY0,1007.3,Низкий,20.0,12.79,1000.0,12.0,153.48,21.32,15.24,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/
33,Альфа Дон Транс выпуск 1,RU000A106Y70,1009.0,Средний,47.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106Y70/
34,МигКредит выпуск 2,RU000A106KT0,962.2,Низкий,32.0,10.53,1000.0,12.0,126.36,28.08,13.13,https://www.tinkoff.ru/invest/bonds/RU000A106KT0/
35,МФК Фордевинд,RU000A105849,979.104,Низкий,22.0,13.05,960.0,12.0,156.6,23.93,15.99,https://www.tinkoff.ru/invest/bonds/RU000A105849/
36,МФК Мани Мен выпуск 3,RU000A103PS8,959.5,Средний,10.0,8.7,1000.0,12.0,104.4,7.25,10.88,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/
37,Пионер-Лизинг-БО-П03,RU000A1013N6,1035.1,Низкий,71.0,12.79,1000.0,12.0,153.48,75.67,14.83,https://www.tinkoff.ru/invest/bonds/RU000A1013N6/
38,Сегежа 002P выпуск 5,RU000A1053P7,870.5,Средний,165.0,46.11,1000.0,2.0,92.22,3804.07,10.59,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
39,Сегежа 002P выпуск 1,RU000A1041B2,925.0,18.11.2024,156.0,42.72,1000.0,2.0,85.44,3332.16,9.24,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
40,AzurDrive выпуск 1,RU000A106TJ2,978.0,Средний,46.0,11.4,1000.0,12.0,136.8,43.7,13.99,https://www.tinkoff.ru/invest/bonds/RU000A106TJ2/
41,Сегежа Групп 003P-02R,RU000A105SP3,909.4,07.05.2025,171.0,22.97,1000.0,4.0,91.88,981.97,10.1,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
42,ПИМ выпуск 2,RU000A106NT4,948.3,Низкий,33.0,31.41,1000.0,4.0,125.64,259.13,13.25,https://www.tinkoff.ru/invest/bonds/RU000A106NT4/
43,Ника 001P-02,RU000A106U74,987.8,Средний,58.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106U74/
44,Нафтатранс Плюс выпуск 5,RU000A106Y21,1027.1,Средний,35.0,13.57,1000.0,12.0,162.84,39.58,15.85,https://www.tinkoff.ru/invest/bonds/RU000A106Y21/
45,АСВ выпуск 1,RU000A106RB3,998.0,Низкий,34.0,36.8,1000.0,4.0,147.2,312.8,14.75,https://www.tinkoff.ru/invest/bonds/RU000A106RB3/
46,МигКредит выпуск 2,RU000A106UK8,999.5,Средний,34.0,11.92,1000.0,12.0,143.04,33.77,14.31,https://www.tinkoff.ru/invest/bonds/RU000A106UK8/
47,МФК ВЭББАНКИР выпуск 4,RU000A106Y88,1002.5,Средний,40.0,14.27,1000.0,12.0,171.24,47.57,17.08,https://www.tinkoff.ru/invest/bonds/RU000A106Y88/
48,Глобал Факторинг Нетворк Рус БО-02-001P,RU000A1060U2,996.1,Низкий,34.0,11.74,1000.0,12.0,140.88,33.26,14.14,https://www.tinkoff.ru/invest/bonds/RU000A1060U2/
49,Славянск ЭКО выпуск 1,RU000A103WB0,945.1,Средний,36.0,23.84,1000.0,4.0,95.36,214.56,10.09,https://www.tinkoff.ru/invest/bonds/RU000A103WB0/
50,Завод КЭС выпуск 4,RU000A106QS9,927.1,Низкий,57.0,42.11,1000.0,4.0,168.44,600.07,18.17,https://www.tinkoff.ru/invest/bonds/RU000A106QS9/
51,ПИМ выпуск 1,RU000A103WD6,976.7,Низкий,12.0,28.19,1000.0,4.0,112.76,84.57,11.54,https://www.tinkoff.ru/invest/bonds/RU000A103WD6/
52,Сегежа,RU000A104UA4,992.2,Средний,163.0,23.84,1000.0,4.0,95.36,971.48,9.61,https://www.tinkoff.ru/invest/bonds/RU000A104UA4/
53,ГЛОРАКС 01,RU000A1053W3,955.0,Средний,22.0,29.58,1000.0,4.0,118.32,162.69,12.39,https://www.tinkoff.ru/invest/bonds/RU000A1053W3/
54,Роял Капитал,RU000A104UF3,971.4,Низкий,19.0,32.19,1000.0,4.0,128.76,152.9,13.26,https://www.tinkoff.ru/invest/bonds/RU000A104UF3/
55,АСПЭК-Домстрой выпуск 1,RU000A104B53,980.0,Низкий,14.0,31.41,1000.0,4.0,125.64,109.94,12.82,https://www.tinkoff.ru/invest/bonds/RU000A104B53/
56,Мосгорломбард выпуск 4,RU000A106MV2,976.9,Низкий,51.0,34.63,1000.0,4.0,138.52,441.53,14.18,https://www.tinkoff.ru/invest/bonds/RU000A106MV2/
57,МаксимаТелеком выпуск 1,RU000A101XD8,916.0,17.01.2025,33.0,41.15,1000.0,2.0,82.3,678.98,8.98,https://www.tinkoff.ru/invest/bonds/RU000A101XD8/
58,РКК выпуск 2,RU000A105ZW4,1029.8,Низкий,41.0,38.98,1000.0,4.0,155.92,399.54,15.14,https://www.tinkoff.ru/invest/bonds/RU000A105ZW4/
59,Айди Коллект выпуск 3,RU000A1065M8,969.6,Низкий,30.0,10.7,1000.0,12.0,128.4,26.75,13.24,https://www.tinkoff.ru/invest/bonds/RU000A1065M8/
60,РКК выпуск 1,RU000A105VP7,1039.9,Низкий,28.0,41.15,1000.0,4.0,164.6,288.05,15.83,https://www.tinkoff.ru/invest/bonds/RU000A105VP7/
61,УК ОРГ выпуск 2,RU000A106L67,1000.9,Низкий,32.0,11.74,1000.0,12.0,140.88,31.31,14.08,https://www.tinkoff.ru/invest/bonds/RU000A106L67/
62,УК ОРГ выпуск 3,RU000A106UB7,1000.9,Средний,34.0,11.74,1000.0,12.0,140.88,33.26,14.08,https://www.tinkoff.ru/invest/bonds/RU000A106UB7/
63,АйДи Коллект выпуск 4,RU000A106XT3,1002.7,Средний,34.0,11.74,1000.0,12.0,140.88,33.26,14.05,https://www.tinkoff.ru/invest/bonds/RU000A106XT3/
64,Энергоника 001Р-04,RU000A106R79,986.2,Средний,58.0,34.63,1000.0,4.0,138.52,502.14,14.05,https://www.tinkoff.ru/invest/bonds/RU000A106R79/
65,СибАвтоТранс выпуск 1,RU000A105SZ2,1029.4,Низкий,39.0,38.98,1000.0,4.0,155.92,380.05,15.15,https://www.tinkoff.ru/invest/bonds/RU000A105SZ2/
66,Легенда выпуск 4,RU000A102Y66,938.3,Средний,17.0,21.58,1000.0,4.0,86.32,91.71,9.2,https://www.tinkoff.ru/invest/bonds/RU000A102Y66/
67,КОНТРОЛ лизинг выпуск 1,RU000A106T85,999.7,Средний,57.0,11.57,1000.0,12.0,138.84,54.96,13.89,https://www.tinkoff.ru/invest/bonds/RU000A106T85/
68,МФК Лайм-Займ выпуск 1,RU000A104AX8,701.54,Низкий,14.0,25.4,700.0,4.0,101.6,88.9,14.48,https://www.tinkoff.ru/invest/bonds/RU000A104AX8/
69,ЭкономЛизинг 001Р-05,RU000A106R12,978.4,Низкий,34.0,33.58,1000.0,4.0,134.32,285.43,13.73,https://www.tinkoff.ru/invest/bonds/RU000A106R12/
70,Т.Г. Шевченко выпуск 3,RU000A104Z89,798.9,Средний,21.0,0.0,1000.0,4.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104Z89/
71,Айди Коллект выпуск 2,RU000A104JV3,1002.5,Низкий,15.0,11.74,1000.0,12.0,140.88,14.68,14.05,https://www.tinkoff.ru/invest/bonds/RU000A104JV3/
72,МФК Саммит 1P-01,RU000A105UZ8,1039.9,Низкий,27.0,13.92,1000.0,12.0,167.04,31.32,16.06,https://www.tinkoff.ru/invest/bonds/RU000A105UZ8/
73,Солид-Лизинг БО-001-07,RU000A105P07,917.225,Низкий,25.0,9.83,950.0,12.0,117.96,20.48,12.86,https://www.tinkoff.ru/invest/bonds/RU000A105P07/
74,ПЗ Пушкинское выпуск 1,RU000A104JF6,970.1,Средний,27.0,29.58,1000.0,4.0,118.32,199.66,12.2,https://www.tinkoff.ru/invest/bonds/RU000A104JF6/
75,МФК ЦФП выпуск 1,RU000A102T55,990.9,Низкий,4.0,9.57,1000.0,12.0,114.84,3.19,11.59,https://www.tinkoff.ru/invest/bonds/RU000A102T55/
76,РСХБ выпуск T1,RU000A0ZZ4T1,762.1,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ4T1/
77,Боржоми выпуск 1,RU000A102SK1,966.9,28.02.2024,28.0,32.19,1000.0,2.0,64.38,450.66,6.66,https://www.tinkoff.ru/invest/bonds/RU000A102SK1/
78,Талан-Финанс выпуск 3,RU000A1043B8,963.5,Низкий,19.0,28.19,1000.0,4.0,112.76,133.9,11.7,https://www.tinkoff.ru/invest/bonds/RU000A1043B8/
79,КЛС-Трейд БО-02,RU000A105QL6,1019.0,Низкий,14.0,38.98,1000.0,4.0,155.92,136.43,15.3,https://www.tinkoff.ru/invest/bonds/RU000A105QL6/
80,АПРИ Флай Плэнинг БО-П05,RU000A104WA0,1000.8,Низкий,20.0,38.98,1000.0,4.0,155.92,194.9,15.58,https://www.tinkoff.ru/invest/bonds/RU000A104WA0/
81,ЭконЛиз1Р4,RU000A1067T9,952.5,Средний,31.0,29.58,1000.0,4.0,118.32,229.24,12.42,https://www.tinkoff.ru/invest/bonds/RU000A1067T9/
82,Лизинг-Трейд 001P-06,RU000A105RF6,961.9,Низкий,50.0,10.35,1000.0,12.0,124.2,43.12,12.91,https://www.tinkoff.ru/invest/bonds/RU000A105RF6/
83,СОБИЛИЗ1Р2,RU000A106AK0,950.212,Низкий,31.0,9.57,970.0,12.0,114.84,24.72,12.09,https://www.tinkoff.ru/invest/bonds/RU000A106AK0/
84,СмартФ1Р01,RU000A106CM2,990.0,Низкий,31.0,34.1,1000.0,4.0,136.4,264.28,13.78,https://www.tinkoff.ru/invest/bonds/RU000A106CM2/
85,МФК Займер выпуск 3,RU000A103QJ5,657.5953,Низкий,10.0,6.0,667.0,12.0,72.0,5.0,10.95,https://www.tinkoff.ru/invest/bonds/RU000A103QJ5/
86,Хайтэк-Интеграция 1P-01,RU000A106151,977.6,Низкий,29.0,32.19,1000.0,4.0,128.76,233.38,13.17,https://www.tinkoff.ru/invest/bonds/RU000A106151/
87,МФК Займер выпуск 2,RU000A103CW8,741.47385,Низкий,8.0,6.79,750.1,12.0,81.48,4.53,10.99,https://www.tinkoff.ru/invest/bonds/RU000A103CW8/
88,re:Store выпуск 1,RU000A103935,947.2,Средний,8.0,17.49,1000.0,4.0,69.96,34.98,7.39,https://www.tinkoff.ru/invest/bonds/RU000A103935/
89,Реаторг 001Р-01,RU000A105BP9,998.5,Низкий,24.0,34.63,1000.0,4.0,138.52,207.78,13.87,https://www.tinkoff.ru/invest/bonds/RU000A105BP9/
90,ТЕХНО Лизинг выпуск 5,RU000A103TS0,882.5,Средний,46.0,8.18,1000.0,12.0,98.16,31.36,11.12,https://www.tinkoff.ru/invest/bonds/RU000A103TS0/
91,Энергоника 001Р-03,RU000A105492,884.61,Средний,46.0,30.45,900.0,4.0,121.8,350.18,13.77,https://www.tinkoff.ru/invest/bonds/RU000A105492/
92,Истринская Сыроварня выпуск 2,RU000A106SL0,999.3,Средний,34.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106SL0/
93,Пионер-Лизинг,RU000A104V00,999.3,Низкий,102.0,10.7,1000.0,12.0,128.4,90.95,12.85,https://www.tinkoff.ru/invest/bonds/RU000A104V00/
94,Лизинг-Трейд выпуск 2,RU000A1029F8,975.0,Средний,11.0,7.66,1000.0,12.0,91.92,7.02,9.43,https://www.tinkoff.ru/invest/bonds/RU000A1029F8/
95,РКС2Р3,RU000A106DV1,983.5,Средний,32.0,33.06,1000.0,4.0,132.24,264.48,13.45,https://www.tinkoff.ru/invest/bonds/RU000A106DV1/
96,Роял Капитал выпуск 9,RU000A106JC8,978.5,Средний,32.0,32.19,1000.0,4.0,128.76,257.52,13.16,https://www.tinkoff.ru/invest/bonds/RU000A106JC8/
97,Бизнес Альянс 1Р-01,RU000A105YQ9,975.3,Низкий,29.0,32.19,1000.0,4.0,128.76,233.38,13.2,https://www.tinkoff.ru/invest/bonds/RU000A105YQ9/
98,Электроаппарат БО-01,RU000A104WZ7,1000.0,Низкий,32.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A104WZ7/
99,СПМК БО-01,RU000A105BW5,1029.4,Низкий,24.0,38.98,1000.0,4.0,155.92,233.88,15.15,https://www.tinkoff.ru/invest/bonds/RU000A105BW5/
100,ТЕХНО Лизинг выпуск 4,RU000A1032X5,903.0,Средний,30.0,7.66,1000.0,12.0,91.92,19.15,10.18,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/
101,Патриот Групп выпуск 1,RU000A105AX5,1001.5,Средний,24.0,34.63,1000.0,4.0,138.52,207.78,13.83,https://www.tinkoff.ru/invest/bonds/RU000A105AX5/
102,МаксимаТелеком выпуск 2,RU000A102DK3,963.2,Средний,7.0,42.28,1000.0,2.0,84.56,147.98,8.78,https://www.tinkoff.ru/invest/bonds/RU000A102DK3/
103,Глобал Факторинг Нетворк Рус выпуск 3,RU000A106LS0,980.0,Низкий,44.0,10.53,1000.0,12.0,126.36,38.61,12.89,https://www.tinkoff.ru/invest/bonds/RU000A106LS0/
104,Сибстекло БО-П03,RU000A105C93,1003.3,23.10.2023,24.0,12.09,1000.0,12.0,145.08,24.18,14.46,https://www.tinkoff.ru/invest/bonds/RU000A105C93/
105,МФК ЦФП выпуск 2,RU000A103GL2,975.5,Низкий,9.0,9.22,1000.0,12.0,110.64,6.92,11.34,https://www.tinkoff.ru/invest/bonds/RU000A103GL2/
106,Лизинг-Трейд 1P-08,RU000A106987,967.8,Низкий,54.0,10.35,1000.0,12.0,124.2,46.57,12.83,https://www.tinkoff.ru/invest/bonds/RU000A106987/
107,ЭР-Телеком Холдинг БО-02 выпуск 1,RU000A103WR6,998.1,Высокий,0.0,20.53,1000.0,4.0,82.12,0.0,8.23,https://www.tinkoff.ru/invest/bonds/RU000A103WR6/
108,Роял Капитал БО-П08,RU000A1056Q8,1004.1,Средний,23.0,34.63,1000.0,4.0,138.52,199.12,13.8,https://www.tinkoff.ru/invest/bonds/RU000A1056Q8/
109,Агротек выпуск 1,RU000A105QZ6,1009.5,Средний,29.0,36.8,1000.0,4.0,147.2,266.8,14.58,https://www.tinkoff.ru/invest/bonds/RU000A105QZ6/
110,ГТЛК 001P-20,RU000A1038M5,950.6,17.06.2024,151.0,16.96,1000.0,4.0,67.84,640.24,7.14,https://www.tinkoff.ru/invest/bonds/RU000A1038M5/
111,Литана выпуск 1,RU000A1032S5,972.0,Низкий,6.0,28.19,1000.0,4.0,112.76,42.29,11.6,https://www.tinkoff.ru/invest/bonds/RU000A1032S5/
112,КарМани выпуск 2,RU000A1058U6,836.24,Низкий,23.0,10.79,800.0,12.0,129.48,20.68,15.48,https://www.tinkoff.ru/invest/bonds/RU000A1058U6/
113,Соби-Лизинг 001P-01,RU000A105CL6,763.8,Низкий,24.0,8.61,760.0,12.0,103.32,17.22,13.53,https://www.tinkoff.ru/invest/bonds/RU000A105CL6/
114,Азбука Вкуса выпуск 2,RU000A105WR1,931.4,Средний,112.0,22.18,1000.0,4.0,88.72,621.04,9.53,https://www.tinkoff.ru/invest/bonds/RU000A105WR1/
115,Лизинг-Трейд выпуск 9,RU000A106GB6,959.9,Средний,55.0,10.0,1000.0,12.0,120.0,45.83,12.5,https://www.tinkoff.ru/invest/bonds/RU000A106GB6/
116,СИБАВТО1Р2,RU000A106CB5,967.7,Низкий,55.0,31.41,1000.0,4.0,125.64,431.89,12.98,https://www.tinkoff.ru/invest/bonds/RU000A106CB5/
117,Мосгорломбард выпуск 3,RU000A106FW4,1011.3,Низкий,44.0,34.63,1000.0,4.0,138.52,380.93,13.7,https://www.tinkoff.ru/invest/bonds/RU000A106FW4/
118,МФК Займер выпуск 1,RU000A102TL7,990.9,Низкий,4.0,9.05,1000.0,12.0,108.6,3.02,10.96,https://www.tinkoff.ru/invest/bonds/RU000A102TL7/
119,Лизинг-Трейд 1P-07,RU000A105WZ4,977.9,Низкий,51.0,10.35,1000.0,12.0,124.2,43.99,12.7,https://www.tinkoff.ru/invest/bonds/RU000A105WZ4/
120,Джи-групп выпуск 2,RU000A103JR3,603.84,21.12.2023,10.0,13.75,600.0,4.0,55.0,34.38,9.11,https://www.tinkoff.ru/invest/bonds/RU000A103JR3/
121,Джи-групп 2Р-03,RU000A106Z38,999.4,Средний,35.0,33.32,1000.0,4.0,133.28,291.55,13.34,https://www.tinkoff.ru/invest/bonds/RU000A106Z38/
122,Интерлизинг выпуск 6,RU000A106SF2,964.3,Высокий,34.0,29.23,1000.0,4.0,116.92,248.46,12.12,https://www.tinkoff.ru/invest/bonds/RU000A106SF2/
123,ГТЛК 002P выпуск 1,RU000A102VR0,935.4,19.09.2024,148.0,16.96,1000.0,4.0,67.84,627.52,7.25,https://www.tinkoff.ru/invest/bonds/RU000A102VR0/
124,РСХБ 09Т1,RU000A0ZZ505,788.1,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ505/
125,Агротек БО-02,RU000A1065Y3,990.2,Низкий,45.0,32.19,1000.0,4.0,128.76,362.14,13.0,https://www.tinkoff.ru/invest/bonds/RU000A1065Y3/
126,А Девелопмент,RU000A104FX7,971.5,Низкий,15.0,30.02,1000.0,4.0,120.08,112.58,12.36,https://www.tinkoff.ru/invest/bonds/RU000A104FX7/
127,Быстроденьги выпуск 2,RU000A102ZT7,987.1,Низкий,5.0,9.05,1000.0,12.0,108.6,3.77,11.0,https://www.tinkoff.ru/invest/bonds/RU000A102ZT7/
128,Мосрегионлифт БО-02,RU000A106DJ6,1000.0,Средний,43.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106DJ6/
129,КИФА выпуск 1,RU000A106EV9,986.0,Средний,32.0,31.41,1000.0,4.0,125.64,251.28,12.74,https://www.tinkoff.ru/invest/bonds/RU000A106EV9/
130,Глоракс 1P-01,RU000A105XF4,992.1,Средний,17.0,32.19,1000.0,4.0,128.76,136.81,12.98,https://www.tinkoff.ru/invest/bonds/RU000A105XF4/
131,Новые Технологии выпуск 2,RU000A106PW3,933.9,Средний,57.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106PW3/
132,ГТЛК выпуск 9,RU000A0ZZ1J8,929.5,02.10.2024,113.0,15.92,1000.0,4.0,63.68,449.74,6.85,https://www.tinkoff.ru/invest/bonds/RU000A0ZZ1J8/
133,Роделен 1P-04,RU000A105SK4,980.8,Средний,50.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105SK4/
134,ГТЛК выпуск 3,RU000A0JXE06,985.4,06.02.2024,99.0,23.84,1000.0,4.0,95.36,590.04,9.68,https://www.tinkoff.ru/invest/bonds/RU000A0JXE06/
135,ДАРС-Девелопмент выпуск 1,RU000A106UM4,995.6,Средний,22.0,32.19,1000.0,4.0,128.76,177.04,12.93,https://www.tinkoff.ru/invest/bonds/RU000A106UM4/
136,Петроинжиниринг выпуск 1,RU000A103RL9,952.0,25.09.2024,35.0,21.14,1000.0,4.0,84.56,184.97,8.88,https://www.tinkoff.ru/invest/bonds/RU000A103RL9/
137,Сибэнергомаш-БКЗ выпуск 1,RU000A104K37,995.1,Средний,16.0,32.19,1000.0,4.0,128.76,128.76,12.94,https://www.tinkoff.ru/invest/bonds/RU000A104K37/
138,МФК ВЭББАНКИР 1P-02,RU000A105575,961.1,Низкий,28.0,11.4,1000.0,12.0,136.8,26.6,14.23,https://www.tinkoff.ru/invest/bonds/RU000A105575/
139,Элит Строй 1P-01,RU000A105YF2,989.8,Средний,28.0,10.35,1000.0,12.0,124.2,24.15,12.55,https://www.tinkoff.ru/invest/bonds/RU000A105YF2/
140,Лизинг трейд выпуск 3,RU000A1034X1,928.2,Средний,30.0,7.83,1000.0,12.0,93.96,19.57,10.12,https://www.tinkoff.ru/invest/bonds/RU000A1034X1/
141,Роделен,RU000A105M59,1000.1,Средний,49.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105M59/
142,Завод КЭС выпуск 2,RU000A102AB8,794.32,Низкий,12.0,24.27,800.0,4.0,97.08,72.81,12.22,https://www.tinkoff.ru/invest/bonds/RU000A102AB8/
143,Солид-Лизинг выпуск 1,RU000A104CF1,735.0,Средний,38.0,23.58,750.0,4.0,94.32,224.01,12.83,https://www.tinkoff.ru/invest/bonds/RU000A104CF1/
144,ГТЛК выпуск 17,RU000A101QL5,834.5,28.05.2026,139.0,16.09,1000.0,4.0,64.36,559.13,7.71,https://www.tinkoff.ru/invest/bonds/RU000A101QL5/
145,Сбербанк 002СУБ-02R,RU000A102HC1,8250000.0,Средний,89.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102HC1/
146,Балтийский лизинг БО-П08,RU000A106EM8,938.1,17.06.2025,115.0,7.57,1000.0,12.0,90.84,72.55,9.68,https://www.tinkoff.ru/invest/bonds/RU000A106EM8/
147,Элит Строй выпуск 1,RU000A103M85,993.0,Средний,10.0,10.0,1000.0,12.0,120.0,8.33,12.08,https://www.tinkoff.ru/invest/bonds/RU000A103M85/
